665,560,490,n,oc
0.63168,0.765284,0.96013,2.7,22.1
0.544346,0.678886,0.866487,2.7,44.6
0.53087,0.647546,0.886258,1.5,12.1
0.654251,0.763496,0.934385,3,26.9
0.561813,0.680975,0.900319,1.6,16.5
0.618392,0.73165,0.926725,1.8,13.6
0.621616,0.715472,0.828766,6,53
0.717345,0.786932,0.936403,2.3,17.4
0.715418,0.857383,1.006561,4.9,47.1
0.629865,0.771791,0.952031,4.7,54.3
0.699862,0.80144,0.92279,3,23.9
0.754133,0.894217,1.022202,3,41.6
0.58882,0.663218,0.796774,1.4,6.4
0.682646,0.797847,0.922222,4.5,36.4
0.836023,0.952727,1.061173,5.9,54.3
0.637368,0.749229,0.881623,3.7,33.7
0.868107,0.995257,1.079601,8.6,139.4
0.644921,0.726474,0.822273,4.5,39.4
0.713646,0.836673,0.972078,5.1,42.7
0.6301,0.760484,0.915509,3.6,37
0.608997,0.741314,0.875155,3.5,28.8
0.703661,0.819245,0.95228,4.4,55
0.722698,0.828074,0.921537,3.4,51.7
0.718379,0.83219,0.956312,5.8,48.9
0.659313,0.779247,0.926679,1.9,14.1
0.647753,0.73911,0.869141,1.4,22.7
0.568179,0.657323,0.769221,2.3,17.2
0.461707,0.591111,0.781709,1.8,13.9
0.572133,0.683237,0.817587,1.8,15.8
0.583435,0.672532,0.795181,2.6,22.6
0.869729,1.000617,1.080918,6.8,97
0.652048,0.785067,0.933689,2.9,24.3
0.670466,0.776833,0.884398,3.7,37.7
0.592007,0.739959,0.921197,2.7,23.5
0.585452,0.721098,0.891813,1.8,13.5
0.651466,0.804755,0.945446,4.5,37.1
0.676263,0.799631,0.940288,3.8,33.7
0.643317,0.745653,0.896594,1.5,12.5
0.61555,0.762358,0.933558,3.1,29.7
0.952288,1.077404,1.178526,7.3,117.1
0.670777,0.81362,0.937747,4.8,67
0.639564,0.762279,0.938987,2,21
0.751958,0.88974,1.054814,3.6,30.8
0.527575,0.647783,0.826211,1.4,9.9
0.665831,0.807059,0.969017,2.8,27.8
0.562431,0.677187,0.82338,2.1,15.9
0.571244,0.703889,0.857958,2.7,20.9
0.620017,0.759866,0.912009,3.3,28.4
0.669236,0.819898,0.979241,4.2,43.4
0.539556,0.635577,0.744425,2.6,21
0.597607,0.71881,0.853736,3.3,24.7
0.632193,0.762624,0.894519,3.8,33.6
0.626614,0.747005,0.903097,2.2,19.8
0.731002,0.856206,0.972565,4,33.3
0.960017,1.095886,1.177099,8.6,153.5
0.565001,0.698488,0.877799,2.2,17.3
0.500811,0.619357,0.793488,1.6,12.6
0.573763,0.694088,0.836797,2.1,16.9
0.536884,0.665364,0.840342,2.5,22.3
0.496092,0.617378,0.777709,2.7,22
0.479098,0.576398,0.727498,2.2,16.5
0.59016,0.716293,0.865707,3.8,38.4
0.651242,0.762235,0.90991,4.7,37
0.598403,0.724073,0.917937,1.6,15
0.560766,0.672324,0.833264,2.6,18.3
0.719265,0.820134,0.94071,2.4,34.4
0.650671,0.768693,0.918262,3,28.9
0.601089,0.717774,0.848851,4.1,36.4
0.583143,0.705293,0.850646,3.9,36
0.584185,0.700269,0.860526,3.4,35.2
0.640306,0.761674,0.906267,3.7,30.5
0.609162,0.740909,0.917202,2.6,23.2
0.727655,0.854973,0.991377,5.1,70
0.575577,0.677495,0.836666,2.4,26.2
0.885274,1.008335,1.118824,5.8,94.9
0.883296,1.026674,1.137438,7.6,121
0.750884,0.886405,1.038634,1.8,15.5
0.740472,0.882637,1.02698,1.8,18
0.886729,1.033461,1.171986,1.7,14.6
0.563397,0.667267,0.825035,1.8,13.9
0.696344,0.809731,0.920468,3.9,44.9
0.783676,0.909745,1.031508,1.7,18.9
0.574002,0.677237,0.839688,1.2,14.1
0.807935,0.935325,1.05609,1,10.6
0.623768,0.759748,0.911193,2.7,30.9
0.933503,1.072238,1.190234,1.3,13.1
0.743341,0.863475,0.991087,2.7,23.7
0.627277,0.742811,0.872306,1.4,18.6
0.763354,0.898908,1.029344,1.4,15.8
0.848294,0.99356,1.129033,1.9,17.6
0.560027,0.682874,0.850578,1.4,16.4
0.903314,1.027653,1.123045,0.9,8.1
1.013361,1.133497,1.221923,1.8,17.9
0.850374,0.990867,1.128768,1.9,15.4
0.559267,0.681232,0.881125,1.4,12.1
0.769584,0.873956,1.028995,2.8,26.1
0.58099,0.693926,0.852289,1.6,20.4
0.634483,0.720565,0.886022,1.6,9.8
0.604164,0.722712,0.878102,2.5,25.1
0.844652,1.003295,1.151081,1.5,13.3
0.836035,0.972043,1.109413,2.4,21.3
0.600238,0.705469,0.851252,2,23.8
0.654948,0.767057,0.910087,2.1,15.9
0.821113,0.955045,1.083861,2,18.7
0.592136,0.717834,0.888094,1.7,18.1
0.967704,1.080186,1.178849,2.7,26.2
0.716266,0.857255,1.034424,1.6,13.4
0.538624,0.653486,0.799104,1.8,22.1
0.75702,0.861053,0.999043,1.8,14.3
0.773533,0.89967,1.051616,2,18
0.610551,0.732328,0.922016,1.5,14.7
0.684978,0.798747,0.939841,2.1,29.7
0.570573,0.68771,0.847624,1.3,18.3
0.895794,1.028746,1.150111,1.6,16.6
0.889277,1.029284,1.149956,2.1,21
0.544821,0.665458,0.827983,1.2,9.7
0.597309,0.71786,0.912681,1.2,10.9
0.580771,0.698787,0.814451,2.1,26
0.537271,0.656521,0.81638,1.4,11.1
0.706326,0.838804,0.989735,2.9,47.6
0.734982,0.852445,1.026078,1.3,11.2
0.764415,0.891924,1.004749,2.1,20.6
0.600162,0.72369,0.903591,2,16.2
0.729638,0.857127,0.982964,3.9,55.4
0.66978,0.779683,0.919479,2,17.2
0.591389,0.717015,0.895347,1.8,13.2
0.664105,0.794103,0.947237,2.2,20.8
0.582803,0.713298,0.87415,1.8,14.6
0.530159,0.639458,0.760811,2.2,33.1
0.589427,0.749572,0.957279,1.7,12.2
0.583129,0.730504,0.886235,2.8,32.5
0.520444,0.644589,0.769222,1.9,24
0.545654,0.677997,0.834902,2.3,20.9
0.635971,0.759642,0.871511,3.2,68
0.681704,0.808857,0.956639,2.8,34
0.71536,0.84051,0.958926,3.3,29.8
0.67444,0.795798,0.958172,1.3,11.8
0.534891,0.661147,0.830653,1.8,14.6
0.728995,0.863102,0.975383,6,83.5
0.630613,0.745392,0.860947,4.4,38.7
0.651797,0.766534,0.879572,3.6,45.6
0.434823,0.540523,0.718983,2.2,17.3
0.917859,1.058281,1.121208,14.3,319.3
0.787663,0.95335,1.122194,5.2,62.5
1.003347,1.142826,1.22646,8,126.5
0.99284,1.157517,1.268869,9.5,166.6
0.692244,0.837536,0.984984,4.8,55.9
0.945005,1.077015,1.155078,12.8,146.5
1.115823,1.281723,1.347178,11.5,286.8
0.790656,0.922231,1.048462,5.9,64.5
0.768921,0.936512,1.103523,2.9,60.3
1.323777,1.497995,1.561494,16.5,325
1.138931,1.206431,1.254554,14,168.4
0.747414,0.881922,1.044676,6,101.1
0.78457,0.962853,1.123633,6.5,105.1
1.012392,1.169101,1.25669,13.8,218.7
0.461114,0.514974,0.592756,2.3,27.7
1.046449,1.218279,1.323783,11.7,206
0.711108,0.815134,0.94114,5.4,74.6
0.643505,0.748989,0.869878,3.4,37.3
0.646513,0.804622,0.950918,6.1,77.1
0.935149,1.069184,1.16904,6.4,79.2
0.883697,1.065596,1.165507,9.5,174.7
1.062132,1.287214,1.403428,15.7,329.2
0.8635,0.993851,1.077647,11.8,165.4
1.074359,1.275817,1.383615,16.9,332.6
0.935241,1.040515,1.104089,11.3,187.3
0.592121,0.676862,0.751417,8,139.5
0.662093,0.761247,0.862121,6.1,110.1
0.97157,1.059677,1.10029,15.8,255.2
0.700854,0.794589,0.935219,4.7,37.3
0.65032,0.79309,0.915517,4.5,63.1
0.867094,1.008861,1.074356,14.6,277
0.84475,0.965424,1.043053,6.6,87.2
0.632469,0.763981,0.89142,2.5,31.5
0.735367,0.837171,0.940266,4.8,86.4
0.743407,0.83858,0.915863,3.9,43.1
0.594562,0.681499,0.813706,3.2,24.9
0.653701,0.742276,0.87347,2.4,21.2
0.661967,0.795527,0.924281,4.8,76.1
0.909068,0.938409,1.003727,3.5,49.3
0.874209,1.000873,1.079198,9.9,142.7
0.809096,0.940616,1.023439,7.1,112.1
0.678957,0.801621,0.939191,4.3,62.5
0.623262,0.746532,0.879551,3.3,26
0.630729,0.765791,0.885083,3,36.6
0.666734,0.805616,0.934308,6.3,67
0.706815,0.843105,0.951339,7.5,131.6
0.6952,0.816987,0.933863,4.3,64.5
0.64975,0.733279,0.840487,3.7,37.3
0.949814,1.053388,1.118021,15.9,308.3
0.777104,0.894889,1.003041,5.5,96.3
0.767413,0.904518,1.019326,5.9,97.6
0.698903,0.808419,0.94929,3,27.9
0.667522,0.793536,0.925768,5.2,44.8
0.597203,0.707054,0.865631,3,26.2
0.719406,0.798904,0.92763,2,24.6
0.773123,0.871984,0.973019,3.7,35
0.785826,0.940101,1.037602,6.4,98
0.631237,0.749663,0.882363,4,36
0.706834,0.846096,0.977733,5.1,88.8
0.764651,0.915946,1.019915,6.3,105.2
0.575331,0.672183,0.775076,3.4,29.2
0.680877,0.78325,0.896692,3,25.4
0.770685,0.895954,0.987591,5.1,108.3
0.637532,0.770834,0.921078,2.8,43.6
0.718727,0.852733,0.975093,5,95.4
0.834833,0.932035,1.014985,6.7,106.4
0.708848,0.8038,0.882931,4.5,82.2
0.795485,0.899264,1.016795,3.8,47
0.7133,0.832031,0.926916,3.5,55
0.673348,0.789859,0.903055,4.7,83.3
0.62739,0.742884,0.851334,4.3,54.1
0.727661,0.838426,0.930681,5.8,88.6
0.670261,0.826961,0.969607,4.3,89.2
0.727285,0.860854,0.980455,5.5,73.4
0.794134,0.913183,1.00519,6.2,95.1
0.853681,0.96036,1.030102,9.4,150.9
0.646738,0.755836,0.885358,4.4,40
0.65859,0.782998,0.914473,5.9,52.1
0.663296,0.785333,0.91852,4.5,33.7
0.868938,0.981302,1.05831,8.8,194.9
0.822219,0.941149,1.025281,8.5,153.9
0.763654,0.867018,0.959457,5.8,73.3
0.732322,0.877621,1.005609,5,79.2
0.769917,0.900376,1.014755,8.3,124.9
0.614181,0.697775,0.811973,3.7,31.2
0.760172,0.835327,0.934428,4.2,54.3
0.889995,1.008063,1.071457,15.2,260.5
0.753036,0.87436,0.9643,10,140.1
0.654952,0.748058,0.855112,5.3,46.9
0.775123,0.877709,0.963013,6.2,64.7
0.630895,0.722791,0.812993,3.4,58.1
0.753567,0.857543,0.943655,7.2,140.8
0.610351,0.718235,0.837214,4,77.9
0.625791,0.74911,0.881655,4.1,62.7
0.714015,0.828085,0.909149,8,120.6
0.621158,0.764236,0.904429,4.2,47.9
0.752363,0.852679,0.921298,11.7,161.7
0.483961,0.614726,0.773946,3.6,39.4
0.614905,0.735642,0.857824,6.6,57.4
0.659631,0.779176,0.902827,5.5,47.2
0.638917,0.765781,0.87651,4.2,40.3
0.773183,0.887028,0.984405,6.1,70.6
0.805535,0.892534,0.999079,4.6,68.8
0.683036,0.774885,0.866178,5.6,63.3
0.613915,0.722622,0.849099,2,19.7
0.755414,0.884487,0.976273,6.9,146.2
0.771087,0.911059,1.003439,7.4,108.2
0.941373,1.0558,1.119082,13,259.9
1.004179,1.149463,1.200761,16.5,328
0.842888,0.969705,1.048985,10.2,135.9
0.721591,0.831731,0.894147,5.4,163.9
0.88394,1.010196,1.081203,10.6,153.1
0.687612,0.797588,0.906868,4.5,34.3
0.535207,0.681902,0.837205,3,30.1
0.67774,0.832023,0.944108,4.3,80.1
0.621895,0.750798,0.858775,7.1,89.9
0.969522,1.133862,1.186713,19.6,388.3
0.57705,0.664654,0.812925,1.7,20.5
0.937762,1.011578,1.046866,28.9,291.3
0.728652,0.81002,0.913134,3.3,33.6
0.549072,0.659121,0.769644,2.1,33.2
0.503201,0.65833,0.833811,2.3,36.5
0.815742,0.902743,1.012437,2.4,27.6
0.644217,0.789402,0.937319,2.1,21.5
0.627804,0.78556,0.937964,3.3,45.1
0.916135,1.034091,1.10814,11.4,156.3
0.855114,0.97414,1.071897,4.8,62
0.729787,0.838268,0.911766,7.9,105.4
0.92372,1.023115,1.08101,19.7,265
0.620051,0.728597,0.851953,3.5,41.9
0.617811,0.731925,0.850093,2.8,30.6
0.513952,0.645206,0.827276,3.1,25.6
1.011633,1.119892,1.167727,16.3,368.3
0.86353,0.979274,1.05769,10.2,190.2
0.578036,0.674306,0.766599,3.3,34.8
0.874092,0.968903,1.017642,17.2,328.5
0.876678,0.98246,1.032958,15.9,334.7
0.811621,0.953801,1.063348,6.7,71.5
0.849001,0.9543,1.02508,9.4,129.7
0.621819,0.718133,0.807137,3.7,109.8
0.653014,0.77141,0.902345,2.8,24.6
0.636289,0.764026,0.910839,3.8,42.8
0.581927,0.729647,0.895448,2.9,25.5
0.670806,0.780658,0.918478,2.7,20.2
0.625136,0.751906,0.909371,2,16.8
0.600087,0.745301,0.918917,3.4,29.5
0.777109,0.89755,1.01906,4.3,31.4
0.573955,0.694443,0.847291,4.4,33
0.516949,0.611251,0.764666,1.1,7.9
0.583963,0.715461,0.897693,1.6,21.4
0.623016,0.732535,0.850418,3.1,30.4
0.670988,0.766323,0.836645,4.6,73.1
0.639355,0.761418,0.930724,3.9,40.8
0.782428,0.941924,1.04763,8.4,173.2
0.725984,0.893658,1.041636,7.2,103.2
0.730974,0.850554,0.964609,4.7,80.8
0.922879,1.027793,1.080522,14.3,303.6
0.815059,0.961289,1.065859,7.9,146.3
0.645464,0.786863,0.913038,5.7,76.7
0.675893,0.781845,0.918183,4.6,77.3
0.83581,0.956695,1.044119,18.4,329.8
0.667736,0.791533,0.930658,4.5,56
0.76212,0.902678,1.00684,7.8,127.3
0.801105,0.936155,1.021183,9.6,167.8
0.666051,0.753289,0.862271,3.9,31.9
0.672123,0.803945,0.93419,4.8,42.4
0.582858,0.727787,0.895885,3.9,58.7
0.556024,0.669482,0.824084,3,36.6
0.710382,0.839331,0.975706,3.9,33
0.786702,0.907956,0.988709,6.5,121.6
0.743067,0.827931,0.891059,6.1,159
0.742604,0.889429,0.999436,5.1,91.8
0.792685,0.933291,1.037076,5.4,116.2
0.716047,0.852838,1.001613,6.1,62.7
0.651293,0.747868,0.87435,3.2,39.9
0.788625,0.921035,1.023969,6.9,138.6
0.660489,0.774111,0.905769,5.5,46.9
0.853496,0.922721,1.032028,5.2,43.9
0.731207,0.841934,0.971606,3.5,29.5
0.781524,0.904805,1.000234,5.4,82.5
0.788093,0.877462,0.973404,4.1,122.6
0.622267,0.736479,0.83306,3.8,61.5
0.686558,0.774966,0.908367,4,61.5
0.691487,0.813335,0.93344,3.9,61.7
0.734241,0.866945,0.956882,5.5,101.2
0.645813,0.770976,0.905261,2.8,57.9
0.764427,0.878258,0.990258,3.6,58.8
0.553093,0.670204,0.81335,2.9,22.6
0.911007,1.025632,1.085763,8.6,139.1
0.645106,0.760935,0.880624,6.7,53.4
0.573278,0.700851,0.824612,4.2,39.6
0.721127,0.830362,0.896029,6.1,141.3
0.770842,0.877252,0.97674,4.7,70.4
0.638983,0.759392,0.831581,4.1,51.2
0.769067,0.866821,0.951464,6.3,128.7
0.777371,0.901245,1.005531,7.4,143.2
0.770066,0.860877,0.938052,7.2,103.3
0.533849,0.664278,0.840205,2.6,45.2
0.707227,0.836838,0.965058,3.6,64.2
0.783511,0.907851,1.018306,6,100.4
0.600321,0.750538,0.912609,4.4,44
0.742048,0.874516,0.98997,6,99
0.544872,0.675557,0.873857,3,28.6
0.752496,0.844947,0.958213,2.9,30.3
0.592891,0.69021,0.820191,2.5,31.4
0.709449,0.812411,0.874246,6.9,111.3
0.666968,0.74976,0.869443,4.1,57.1
0.678076,0.745652,0.834518,5,52.4
0.644037,0.74438,0.841006,4.9,56.5
0.589765,0.676295,0.763951,4.1,40.2
0.533234,0.64785,0.762762,4.7,61.1
1.046798,1.174706,1.218467,21.9,385.5
0.44587,0.56128,0.735543,2.1,25.2
0.700819,0.808169,0.881735,7.2,157.5
0.507799,0.618217,0.771859,2.3,27.8
0.538336,0.67642,0.793811,2.5,25
0.618949,0.818371,0.91049,2.7,42.3
0.647255,0.72834,0.829937,3,31.5
0.840152,0.954087,1.018042,15.4,174.4
0.546347,0.69019,0.861565,2.9,52
0.615753,0.741694,0.870607,5.2,90.7
0.630739,0.694056,0.796058,2.8,26.5
0.506532,0.607999,0.695419,8.5,78.1
0.595751,0.68884,0.817122,2.2,18
0.490462,0.595053,0.699337,0.9,10.3
0.634479,0.746332,0.858725,6,63.6
0.573841,0.702563,0.848253,5.1,70.7
0.54505,0.641515,0.754428,5.1,37.6
0.729978,0.820477,0.889871,7,84.5
0.650542,0.753618,0.865566,3.8,29.9
0.694356,0.78827,0.890632,4.7,38.2
0.616605,0.797042,0.894812,3.6,32.6
0.618663,0.7359,0.863893,3.3,44.4
0.756557,0.876366,0.953408,5.3,72.2
0.896647,0.967862,1.031626,5.6,116.8
0.702717,0.825409,0.931425,5.6,69.3
1.128834,1.288378,1.31873,20.3,399.2
0.704892,0.825633,0.935115,4.1,58
0.590665,0.684717,0.735892,6.9,127.4
0.661983,0.784526,0.902978,5.6,71.5
0.815502,0.922067,1.005399,11,128
0.635247,0.744492,0.855064,2.7,31.1
0.599525,0.711884,0.824576,4.4,67.8
0.575798,0.693369,0.837192,3.7,29.4
0.671116,0.788568,0.89917,3.9,62.6
0.726597,0.845112,0.993196,3,45.6
0.74885,0.8804,0.989961,4.8,87.9
0.751481,0.920565,1.036097,5.4,95.7
0.591723,0.712381,0.870327,3.4,40.6
0.690579,0.832914,0.975372,6.3,123.7
0.904289,1.024323,1.089173,10.3,194.6
0.917321,1.04496,1.121328,9.1,129.6
0.715899,0.851813,0.98279,4.4,56.3
0.761497,0.919685,1.057966,6.9,100.3
0.867324,1.003264,1.095102,7.3,124.6
0.596291,0.710261,0.866578,3.1,30.9
0.5122,0.623492,0.765805,2.4,18.4
0.496457,0.619134,0.790405,1.9,13.8
0.639964,0.757272,0.85393,5.6,80.6
0.607084,0.72029,0.872678,4.1,36.5
0.635779,0.751778,0.877376,4.5,54
0.653113,0.774702,0.891771,3.5,52.1
0.706932,0.797153,0.88282,4.7,57.6
0.654534,0.752067,0.824953,5.3,115.1
0.488559,0.600721,0.745178,2.4,17.9
0.540685,0.630382,0.773093,1.4,13.6
0.558784,0.678541,0.829367,1.6,15.7
0.621719,0.744701,0.892434,3.8,44.1
0.736335,0.836076,0.941884,5.6,49.9
0.570168,0.664672,0.837191,2.4,19.4
0.807787,0.900309,0.973836,5.9,53.9
0.534536,0.643802,0.827574,2.2,26
0.524962,0.619191,0.770006,3.2,24.2
0.60183,0.679406,0.845201,2,16.8
0.841898,0.983729,1.096068,7.5,144
0.811501,0.970932,1.062279,10.9,195.3
0.755616,0.888114,0.990321,5.4,115.9
0.577116,0.706384,0.818098,1.7,29.9
0.59204,0.744151,0.853246,0.2,2.3
0.605826,0.720485,0.835742,2.4,22.1
0.560141,0.682382,0.827468,1.4,10.9
0.535025,0.672469,0.84094,1.4,9.5
0.531525,0.656939,0.830112,1.3,10.1
0.528649,0.643938,0.797058,1.3,9.2
0.575732,0.685656,0.815317,1.2,8.7
0.669301,0.796362,0.913852,3.9,39.8
0.591633,0.71356,0.836629,1.9,14.9
0.598872,0.691205,0.792264,1.5,11.6
0.73525,0.859955,0.952292,2.1,18
0.520221,0.640707,0.787297,1.4,12.3
0.559592,0.676649,0.811134,1.7,12.3
0.576792,0.693006,0.81834,1.4,16
0.47911,0.633034,0.832131,1,6.1
0.526409,0.666362,0.838798,1.8,15.3
0.698171,0.859743,1.008198,5.5,64.5
0.51519,0.648551,0.822698,1.5,11
0.533108,0.664413,0.829453,2.2,17.3
0.567775,0.706261,0.862413,1.8,18.8
0.827241,0.971832,1.089683,11.2,176.3
0.647007,0.811583,0.9451,4.1,51.6
0.520341,0.662502,0.840415,1.8,15.2
0.812171,0.963448,1.062288,9.4,191.2
0.560086,0.695654,0.842895,2.4,22.6
0.674102,0.817103,0.922539,13,170.8
0.650512,0.761442,0.860288,6.7,59.8
0.685412,0.818722,0.928292,5.9,69.9
0.532149,0.67097,0.856388,1.4,10
0.544269,0.683577,0.849914,4.1,31.1
0.604096,0.744001,0.893357,3.4,29.8
0.629553,0.764519,0.912676,3.3,38.5
0.592072,0.750699,0.901915,4.2,36.5
0.56629,0.686775,0.838554,2.9,19.5
0.627989,0.771068,0.914315,3.3,33.6
0.596205,0.747907,0.896211,2.6,35.8
0.631241,0.770146,0.92598,3.4,27.4
0.646661,0.794797,0.942016,3.7,29.2
0.635508,0.7799,0.924272,2.7,40.4
0.523654,0.674856,0.861516,1.3,10.4
0.538056,0.672086,0.84956,1.4,11.4
0.489421,0.618957,0.786604,1.3,11.4
0.559213,0.692131,0.865344,1.6,14.3
0.48276,0.617829,0.788043,1.3,10
0.520302,0.662047,0.817015,2.6,19.3
0.532415,0.666888,0.843049,1.6,14.4
0.576789,0.708136,0.880967,1.9,24.7
0.560413,0.708859,0.882318,1.6,12.1
0.495047,0.640467,0.812566,1.2,9
0.551445,0.678345,0.83181,1.2,12.6
0.571561,0.706558,0.852079,2,15.6
0.591604,0.704824,0.829342,1.2,11.2
0.710842,0.829668,0.937511,8.3,74.5
0.528778,0.68536,0.881059,1.4,9.5
0.581104,0.708988,0.848501,1.1,10.2
0.902886,0.999351,1.071344,4.5,45.5
0.717419,0.838423,0.950787,2.2,22.8
0.73357,0.862551,0.957776,2.2,21.9
0.887822,1.000216,1.079625,1.5,24.4
0.664348,0.739359,0.817768,0.6,6.4
0.601297,0.709674,0.82426,1.6,15
0.546149,0.657492,0.794886,1.1,8.6
0.689925,0.812355,0.914944,3.1,27.2
0.598637,0.716663,0.846871,1.1,9.2
0.799738,0.91864,0.981385,2,27.6
0.636121,0.742691,0.850423,0.9,8.6
0.648791,0.775997,0.886084,1.3,12
0.547685,0.659009,0.788756,1.3,10.1
0.64159,0.755777,0.871969,1.4,10.8
0.65888,0.750916,0.845269,1.9,15.7
0.61622,0.69211,0.780848,2.3,19.2
0.562557,0.634448,0.723002,2.1,4.5
0.650774,0.767729,0.867032,4.5,41.3
0.538611,0.664189,0.814213,1.4,11.7
0.564422,0.682401,0.809927,1.7,14
0.554283,0.693411,0.842929,1.5,12.9
0.665484,0.778455,0.917383,1.7,25.6
0.569662,0.697575,0.863678,1.2,9.7
0.523382,0.663735,0.825864,1.3,10.5
0.505552,0.654092,0.820887,1.2,11.4
0.588438,0.717671,0.871799,2.1,24.8
0.568751,0.701362,0.869503,1.4,16.3
0.664126,0.782527,0.902279,2.2,26.1
