665,560,490,phc,phh,ec,caco3,p,n,k,elevation,lc1,lu1,stones,clay,sand,silt,oc
0.811621,0.953801,1.063348,6.5,6.61,29.6,3,13.1,6.7,203.7,730,E20,U111,1,24.0,18.0,58.0,71.5
0.849001,0.9543,1.02508,7.0,7.15,43.1,64,12.4,9.4,322.5,929,E30,U120,3,20.0,31.0,50.0,129.7
0.621819,0.718133,0.807137,7.1,7.19,57.4,159,5.5,3.7,46.8,1036,C21,U120,4,17.0,21.0,62.0,109.8
0.653014,0.77141,0.902345,6.5,6.68,34.7,0,76.6,2.8,137.8,463,B16,U111,2,13.0,45.0,42.0,24.6
0.636289,0.764026,0.910839,4.6,5.13,8.76,0,6.0,3.8,113.0,1057,C21,U120,1,26.0,20.0,54.0,42.8
0.581927,0.729647,0.895448,4.1,4.33,34.4,0,41.8,2.9,199.7,1034,C10,U120,1,9.0,43.0,48.0,25.5
0.670806,0.780658,0.918478,6.1,6.28,47.7,1,53.9,2.7,45.1,762,E20,U111,2,8.0,47.0,45.0,20.2
0.625136,0.751906,0.909371,6.7,6.93,19.92,2,48.2,2.0,144.2,554,B16,U111,2,21.0,33.0,47.0,16.8
0.600087,0.745301,0.918917,4.7,5.02,27.1,0,19.2,3.4,113.8,1170,E20,U111,1,12.0,32.0,55.0,29.5
0.777109,0.89755,1.01906,4.6,4.76,66.9,0,34.3,4.3,186.9,1172,E20,U111,1,6.0,50.0,44.0,31.4
0.573955,0.694443,0.847291,5.0,5.29,48.1,0,29.3,4.4,123.2,696,E20,U111,2,16.0,23.0,62.0,33.0
0.516949,0.611251,0.764666,6.3,6.5,30.2,0,34.0,1.1,690.5,874,E20,U111,2,11.0,37.0,52.0,7.9
0.583963,0.715461,0.897693,5.2,5.49,29.2,1,68.7,1.6,70.9,1252,C21,U120,3,17.0,32.0,52.0,21.4
0.623016,0.732535,0.850418,3.9,4.22,25.3,0,24.0,3.1,38.4,841,D10,U120,1,7.0,40.0,53.0,30.4
0.670988,0.766323,0.836645,6.6,6.81,52.1,257,6.9,4.6,154.1,1047,C31,U120,2,9.0,44.0,46.0,73.1
0.639355,0.761418,0.930724,5.0,5.15,42.0,1,12.9,3.9,155.6,645,C31,U120,1,21.0,25.0,54.0,40.8
0.782428,0.941924,1.04763,3.7,4.17,21.2,0,34.2,8.4,209.5,1540,C21,U120,2,6.0,59.0,34.0,173.2
0.725984,0.893658,1.041636,4.9,5.08,85.5,0,14.9,7.2,297.8,992,C31,U120,3,10.0,38.0,52.0,103.2
0.730974,0.850554,0.964609,5.9,6.1,72.8,2,14.7,4.7,135.4,1162,C21,U120,2,9.0,44.0,46.0,80.8
0.922879,1.027793,1.080522,6.3,6.4,121.2,6,17.9,14.3,220.0,1143,C31,U120,1,6.0,54.0,40.0,303.6
0.815059,0.961289,1.065859,3.6,4.27,15.45,0,30.5,7.9,142.0,1371,C23,U120,2,8.0,49.0,43.0,146.3
0.645464,0.786863,0.913038,3.9,4.26,36.3,0,22.9,5.7,121.4,1324,C21,U120,1,8.0,41.0,51.0,76.7
0.675893,0.781845,0.918183,4.1,4.52,12.23,0,7.1,4.6,53.2,1088,C31,U120,1,13.0,33.0,54.0,77.3
0.83581,0.956695,1.044119,4.1,4.56,172.5,0,102.6,18.4,546.5,1460,C21,U120,2,5.0,70.0,25.0,329.8
0.667736,0.791533,0.930658,4.1,4.44,38.5,0,43.8,4.5,100.6,906,C21,U120,2,14.0,36.0,51.0,56.0
0.76212,0.902678,1.00684,3.9,4.42,16.39,0,39.0,7.8,163.3,1330,C21,U120,2,8.0,52.0,40.0,127.3
0.801105,0.936155,1.021183,3.4,3.9,35.8,0,68.4,9.6,172.3,1162,C21,U120,1,9.0,45.0,46.0,167.8
0.666051,0.753289,0.862271,5.1,5.34,53.7,0,26.1,3.9,147.8,911,E20,U111,1,13.0,46.0,42.0,31.9
0.672123,0.803945,0.93419,4.7,5.27,10.19,0,15.1,4.8,89.4,1089,E20,U111,1,13.0,42.0,44.0,42.4
0.582858,0.727787,0.895885,3.9,4.23,21.6,0,14.6,3.9,78.2,1169,C23,U120,2,15.0,39.0,46.0,58.7
0.556024,0.669482,0.824084,3.8,4.26,6.92,0,14.5,3.0,53.2,1311,C31,U120,2,16.0,43.0,41.0,36.6
0.710382,0.839331,0.975706,5.2,5.58,17.59,0,10.3,3.9,94.7,466,B71,U111,1,19.0,29.0,52.0,33.0
0.786702,0.907956,0.988709,3.3,3.75,15.78,0,16.1,6.5,90.7,1170,C21,U120,1,7.0,53.0,41.0,121.6
0.743067,0.827931,0.891059,6.9,7.09,71.8,30,24.2,6.1,64.6,790,C21,U120,1,9.0,29.0,62.0,159.0
0.742604,0.889429,0.999436,4.2,5.22,35.8,1,32.4,5.1,99.2,1431,E10,U120,1,8.0,43.0,49.0,91.8
0.792685,0.933291,1.037076,3.4,3.83,16.12,0,20.3,5.4,68.1,972,C21,U120,1,7.0,59.0,35.0,116.2
0.716047,0.852838,1.001613,5.7,6.0,27.9,3,5.5,6.1,77.7,1514,E20,U111,1,11.0,33.0,56.0,62.7
0.651293,0.747868,0.87435,7.2,7.47,31.0,194,5.4,3.2,24.5,530,E20,U111,1,18.0,26.0,55.0,39.9
0.788625,0.921035,1.023969,3.5,3.95,13.63,4,23.0,6.9,76.0,985,C21,U120,1,14.0,32.0,53.0,138.6
0.660489,0.774111,0.905769,5.0,5.22,55.1,1,33.7,5.5,117.8,836,E20,U111,1,11.0,32.0,57.0,46.9
0.853496,0.922721,1.032028,5.2,5.55,22.8,1,11.5,5.2,53.2,982,E20,U111,1,16.0,25.0,59.0,43.9
0.731207,0.841934,0.971606,5.6,5.94,36.9,2,29.3,3.5,70.7,760,E20,U111,1,12.0,30.0,58.0,29.5
0.781524,0.904805,1.000234,3.7,4.0,26.0,1,74.5,5.4,93.8,1271,C21,U120,1,10.0,39.0,52.0,82.5
0.788093,0.877462,0.973404,6.9,7.04,53.6,7,16.4,4.1,32.6,697,C21,U120,1,9.0,46.0,44.0,122.6
0.622267,0.736479,0.83306,3.3,3.71,25.4,1,20.8,3.8,59.7,1318,E10,U120,1,18.0,31.0,51.0,61.5
0.686558,0.774966,0.908367,4.9,5.28,11.1,1,5.5,4.0,58.4,1146,C21,U120,1,26.0,24.0,50.0,61.5
0.691487,0.813335,0.93344,3.8,4.13,25.3,0,20.9,3.9,50.7,952,C21,U120,1,12.0,41.0,47.0,61.7
0.734241,0.866945,0.956882,3.4,3.7,25.0,0,22.7,5.5,74.0,822,C21,U120,1,13.0,31.0,56.0,101.2
0.645813,0.770976,0.905261,3.8,3.93,19.39,0,14.5,2.8,43.5,850,C21,U120,1,13.0,41.0,46.0,57.9
0.764427,0.878258,0.990258,3.7,4.01,18.29,0,16.2,3.6,60.1,957,C21,U120,1,11.0,40.0,50.0,58.8
0.553093,0.670204,0.81335,5.3,5.61,15.74,0,16.1,2.9,53.0,642,E20,U111,1,26.0,14.0,60.0,22.6
0.911007,1.025632,1.085763,3.5,3.87,30.2,0,43.0,8.6,112.1,1389,C21,U120,1,6.0,45.0,49.0,139.1
0.645106,0.760935,0.880624,7.0,7.16,73.9,321,20.1,6.7,123.7,964,E20,U111,1,12.0,30.0,58.0,53.4
0.573278,0.700851,0.824612,4.4,4.62,35.2,1,19.4,4.2,141.9,1111,E20,U111,1,10.0,29.0,61.0,39.6
0.721127,0.830362,0.896029,6.7,6.9,82.9,370,24.9,6.1,62.9,987,C31,U120,1,7.0,46.0,47.0,141.3
0.770842,0.877252,0.97674,4.0,4.54,18.77,1,38.6,4.7,65.9,1094,C21,U120,1,8.0,38.0,54.0,70.4
0.638983,0.759392,0.831581,4.2,4.42,49.2,0,66.1,4.1,45.1,1283,E20,U111,1,10.0,33.0,56.0,51.2
0.769067,0.866821,0.951464,3.4,3.85,12.51,0,17.8,6.3,58.2,1063,C21,U120,1,16.0,42.0,43.0,128.7
0.777371,0.901245,1.005531,3.2,3.61,16.49,1,32.7,7.4,70.4,1270,C21,U120,1,9.0,37.0,53.0,143.2
0.770066,0.860877,0.938052,7.0,7.12,74.2,102,22.6,7.2,49.1,811,E20,U111,1,13.0,29.0,58.0,103.3
0.533849,0.664278,0.840205,4.0,4.52,7.36,0,0.0,2.6,92.5,399,C32,U120,1,25.0,16.0,58.0,45.2
0.707227,0.836838,0.965058,3.7,4.27,9.85,0,10.5,3.6,60.5,1109,C21,U120,2,9.0,43.0,48.0,64.2
0.783511,0.907851,1.018306,3.7,4.02,38.0,1,24.0,6.0,106.4,1081,D10,U120,1,9.0,38.0,53.0,100.4
0.600321,0.750538,0.912609,4.4,4.75,18.33,0,14.0,4.4,72.7,1155,E20,U111,1,9.0,40.0,51.0,44.0
0.742048,0.874516,0.98997,3.4,3.8,30.4,0,29.3,6.0,108.9,1162,C31,U120,1,10.0,37.0,53.0,99.0
0.544872,0.675557,0.873857,5.1,5.48,10.56,1,8.4,3.0,61.8,1260,E20,U111,1,16.0,33.0,51.0,28.6
0.752496,0.844947,0.958213,6.9,7.36,18.56,29,92.6,2.9,24.2,816,E20,U111,1,18.0,27.0,55.0,30.3
0.592891,0.69021,0.820191,5.0,5.35,15.59,0,10.6,2.5,141.3,1171,C21,U120,1,20.0,27.0,52.0,31.4
0.709449,0.812411,0.874246,3.3,3.65,27.9,0,87.8,6.9,146.9,1253,C21,U120,1,4.0,63.0,33.0,111.3
0.666968,0.74976,0.869443,4.0,4.82,18.03,0,20.8,4.1,32.6,1366,C21,U120,1,10.0,33.0,57.0,57.1
0.678076,0.745652,0.834518,4.0,4.37,11.69,1,11.5,5.0,75.9,1285,C21,U120,1,17.0,23.0,60.0,52.4
0.644037,0.74438,0.841006,4.2,4.59,15.18,0,24.1,4.9,102.5,1201,E20,U111,1,14.0,15.0,70.0,56.5
0.589765,0.676295,0.763951,5.4,5.78,28.7,1,43.7,4.1,197.2,1033,E20,U111,1,11.0,29.0,60.0,40.2
0.533234,0.64785,0.762762,5.2,5.53,16.25,1,7.5,4.7,142.8,1004,C31,U120,1,37.0,14.0,49.0,61.1
1.046798,1.174706,1.218467,5.1,5.33,94.7,6,82.3,21.9,163.7,615,C33,U120,1,3.0,77.0,21.0,385.5
0.44587,0.56128,0.735543,4.5,5.05,5.59,0,9.8,2.1,224.0,1234,F40,U111,2,24.0,31.0,45.0,25.2
0.700819,0.808169,0.881735,6.7,6.97,43.2,56,13.8,7.2,201.1,1006,C33,U120,1,9.0,50.0,41.0,157.5
0.507799,0.618217,0.771859,6.9,7.12,16.57,18,0.0,2.3,143.3,1103,C10,U120,1,27.0,20.0,54.0,27.8
0.538336,0.67642,0.793811,5.7,5.96,9.73,3,8.4,2.5,103.6,851,C21,U120,1,20.0,23.0,57.0,25.0
0.618949,0.818371,0.91049,4.1,4.61,13.71,0,6.8,2.7,108.1,1094,C23,U120,1,12.0,35.0,52.0,42.3
0.647255,0.72834,0.829937,6.4,6.58,24.4,2,7.6,3.0,247.9,1384,C21,U120,1,12.0,27.0,61.0,31.5
0.840152,0.954087,1.018042,4.9,5.04,133.5,0,39.7,15.4,217.2,1228,E20,U111,1,7.0,41.0,52.0,174.4
0.546347,0.69019,0.861565,3.9,4.2,7.26,1,8.5,2.9,173.5,1124,C21,U120,1,17.0,27.0,56.0,52.0
0.615753,0.741694,0.870607,3.6,3.73,45.1,0,19.7,5.2,120.8,1049,C21,U120,1,14.0,42.0,44.0,90.7
0.630739,0.694056,0.796058,4.7,5.17,13.31,0,20.7,2.8,77.9,789,A30,U319,1,7.0,34.0,59.0,26.5
0.506532,0.607999,0.695419,4.9,5.54,19.61,1,39.4,8.5,292.8,1370,E20,U111,2,18.0,34.0,48.0,78.1
0.595751,0.68884,0.817122,4.7,4.96,11.55,0,8.4,2.2,82.2,930,E20,U111,1,6.0,34.0,59.0,18.0
0.490462,0.595053,0.699337,5.7,6.0,5.72,0,5.6,0.9,20.0,1040,C21,U120,1,3.0,73.0,23.0,10.3
0.634479,0.746332,0.858725,4.0,4.36,11.88,0,24.3,6.0,177.5,1105,E20,U111,1,16.0,30.0,54.0,63.6
0.573841,0.702563,0.848253,3.9,4.18,21.9,0,15.9,5.1,81.6,1037,C21,U120,1,20.0,28.0,52.0,70.7
0.54505,0.641515,0.754428,4.9,5.18,13.02,0,12.9,5.1,47.9,630,E20,U111,1,29.0,9.0,62.0,37.6
0.729978,0.820477,0.889871,4.4,4.6,89.5,0,19.0,7.0,60.1,1085,E20,U111,1,11.0,40.0,49.0,84.5
0.650542,0.753618,0.865566,5.7,5.84,51.4,0,14.4,3.8,81.9,780,E20,U111,1,15.0,36.0,50.0,29.9
0.694356,0.78827,0.890632,5.9,6.2,15.09,0,8.2,4.7,75.3,486,E20,U111,1,14.0,30.0,56.0,38.2
