665,560,490,point_id,coarse,clay,sand,silt,phc,phh,ec,caco3,p,n,k,elevation,lc1,lu1,stones,lon,lat,oc
0.749503,0.879377,0.999434,46642802,-9999.0,-9999.0,-9999.0,-9999.0,5.9,6.08,173.4,6,208.8,7.1,967.1,243,C10,U120,2,65.1,14.618588268,48.234943024
0.735779,0.870461,0.985509,47642704,-9999.0,-9999.0,-9999.0,-9999.0,6.6,6.81,37.5,5,24.7,3.1,75.0,431,C32,U120,1,47.5,15.859191304,47.291805193
0.716933,0.841048,0.991128,47462692,-9999.0,-9999.0,-9999.0,-9999.0,4.4,4.78,26.6,0,19.3,3.0,120.9,501,E20,U111,1,28.4,15.610321633,47.196686282
0.750491,0.912528,1.069204,46842852,-9999.0,-9999.0,-9999.0,-9999.0,5.6,5.96,58.5,0,37.5,5.6,620.9,634,E20,U111,1,44.8,14.931104187,48.672054789
0.523075,0.649402,0.829791,47182790,-9999.0,-9999.0,-9999.0,-9999.0,5.0,5.27,21.4,0,25.7,1.6,172.5,335,B16,U111,1,11.2,15.332260832,48.094538631
0.98301,1.125604,1.238959,47002816,-9999.0,-9999.0,-9999.0,-9999.0,3.4,4.08,17.66,0,57.8,8.5,116.9,813,C31,U120,1,145.2,15.114752369,48.33925149
0.612005,0.744593,0.895281,47522800,-9999.0,-9999.0,-9999.0,-9999.0,4.3,4.66,30.4,0,29.9,2.8,67.1,330,C10,U120,1,26.9,15.797586595,48.161193746
0.836604,0.972021,1.097679,47982796,-9999.0,-9999.0,-9999.0,-9999.0,7.2,7.68,35.6,100,37.4,2.4,497.3,172,B23,U111,1,25.8,16.409187938,48.091172425
0.687835,0.822083,0.988993,48222780,-9999.0,-9999.0,-9999.0,-9999.0,7.3,7.88,21.3,94,26.9,2.4,358.5,132,B82,U111,1,23.8,16.711157721,47.928695631
0.771114,0.864707,0.966645,47942784,-9999.0,-9999.0,-9999.0,-9999.0,7.4,7.84,21.5,266,19.3,2.5,650.2,201,B11,U111,1,32.5,16.342227484,47.986757423
0.771424,0.861805,0.961511,48002776,-9999.0,-9999.0,-9999.0,-9999.0,7.4,7.93,18.99,243,28.3,2.4,215.6,213,A30,U111,1,28.9,16.413283209,47.91042125
0.66413,0.784368,0.957827,48122770,-9999.0,-9999.0,-9999.0,-9999.0,6.5,6.74,19.74,1,62.6,2.2,212.2,158,B31,U111,3,17.5,16.566285057,47.847195897
0.570464,0.678236,0.847461,47582788,-9999.0,-9999.0,-9999.0,-9999.0,4.3,4.85,8.11,1,8.6,2.9,116.4,565,C31,U120,1,33.5,15.865529759,48.049345548
0.907914,1.040097,1.141618,47462764,-9999.0,-9999.0,-9999.0,-9999.0,6.6,6.79,26.5,82,20.4,7.2,162.5,713,C31,U120,1,111.4,15.680978341,47.842561713
0.691858,0.808547,0.963985,48122762,-9999.0,-9999.0,-9999.0,-9999.0,7.2,7.58,12.05,18,16.4,1.4,148.4,176,B33,U111,1,13.7,16.557081854,47.775527235
0.884843,1.053247,1.201587,47242774,-9999.0,-9999.0,-9999.0,-9999.0,4.7,5.1,23.3,1,10.2,4.0,193.1,696,C31,U120,1,45.7,15.397333806,47.947083737
0.856277,0.985651,1.075435,48042766,-9999.0,-9999.0,-9999.0,-9999.0,6.9,7.11,74.2,19,38.7,4.3,156.9,263,C10,U120,2,64.1,16.455252639,47.817692528
0.729806,0.855661,0.994204,48002764,-9999.0,-9999.0,-9999.0,-9999.0,7.4,7.83,31.7,159,26.9,2.3,298.5,234,B11,U111,1,22.8,16.399785819,47.80289798
0.616045,0.710621,0.858725,47882776,-9999.0,-9999.0,-9999.0,-9999.0,7.2,7.76,21.3,158,40.3,2.3,700.1,257,B52,U111,3,32.0,16.253304082,47.91966463
0.821303,0.967519,1.104313,47822764,-9999.0,-9999.0,-9999.0,-9999.0,7.1,7.6,13.87,122,25.0,3.9,346.0,212,E20,U111,4,42.6,16.160296481,47.816642335
0.908512,1.051073,1.171868,47742758,-9999.0,-9999.0,-9999.0,-9999.0,6.9,7.04,26.7,82,23.9,6.8,568.9,466,E10,U111,1,71.6,16.047457154,47.768794695
0.613573,0.747144,0.907504,47802746,-9999.0,-9999.0,-9999.0,-9999.0,3.9,4.34,9.22,0,21.6,3.1,104.5,483,C31,U120,1,35.1,16.114394396,47.656782346
0.791379,0.926183,1.054871,48462776,-9999.0,-9999.0,-9999.0,-9999.0,7.3,7.98,18.06,137,22.0,2.0,275.0,139,F40,U111,1,18.7,17.02603165,47.872832718
1.012611,1.121923,1.19457,48342774,-9999.0,-9999.0,-9999.0,-9999.0,7.3,7.91,19.04,85,39.8,3.1,329.8,122,B13,U111,1,31.1,16.863852203,47.865058925
1.001079,1.135895,1.212447,47822736,-9999.0,-9999.0,-9999.0,-9999.0,3.8,4.36,13.21,3,45.4,8.3,132.8,700,C21,U120,1,157.2,16.130235776,47.565646696
0.656944,0.788624,0.955156,47802732,-9999.0,-9999.0,-9999.0,-9999.0,5.0,5.34,16.48,0,53.3,3.7,89.4,691,B14,U111,1,35.7,16.09950134,47.531271978
0.698258,0.817346,0.963531,46522626,-9999.0,-9999.0,-9999.0,-9999.0,4.2,4.64,7.31,0,23.6,2.5,54.2,521,C31,U120,1,31.9,14.32328565,46.660615653
0.697578,0.824157,0.996217,46562632,-9999.0,-9999.0,-9999.0,-9999.0,5.4,5.63,27.4,0,24.0,2.5,47.4,493,B16,U111,2,19.8,14.379879728,46.712425915
0.670432,0.776155,0.937919,46582638,-9999.0,-9999.0,-9999.0,-9999.0,7.0,7.25,16.19,18,45.5,2.4,120.0,554,B16,U111,2,24.4,14.410466896,46.765276787
0.77278,0.921081,1.069217,46522640,-9999.0,-9999.0,-9999.0,-9999.0,4.0,4.49,9.72,0,68.1,4.2,74.0,741,C21,U120,1,66.6,14.333573309,46.786430015
0.717698,0.833017,0.971089,46602618,-9999.0,-9999.0,-9999.0,-9999.0,7.1,7.39,57.5,74,93.4,3.7,60.9,760,E20,U111,1,33.0,14.421571179,46.584480548
0.760557,0.877146,1.035409,46682636,-9999.0,-9999.0,-9999.0,-9999.0,6.9,7.16,35.3,33,21.3,3.0,91.0,606,C31,U120,1,41.7,14.539516732,46.741879943
0.713641,0.845279,0.989341,46482614,-9999.0,-9999.0,-9999.0,-9999.0,5.8,6.13,34.5,0,33.1,3.5,74.9,565,E20,U111,1,29.8,14.262478962,46.554845364
0.737889,0.864317,0.996688,46262620,-9999.0,-9999.0,-9999.0,-9999.0,6.0,6.27,24.1,0,11.1,3.6,55.3,586,E20,U111,1,32.9,13.980239194,46.619769278
0.684538,0.814884,0.949853,46522632,-9999.0,-9999.0,-9999.0,-9999.0,7.0,7.2,90.6,27,30.1,4.3,108.1,561,C10,U120,2,45.5,14.32768694,46.714537353
0.723492,0.840022,0.990641,46542614,-9999.0,-9999.0,-9999.0,-9999.0,6.2,6.46,30.2,4,10.3,2.4,41.0,472,C33,U120,1,37.1,14.340535486,46.551717672
0.695015,0.842406,1.022715,46482646,-9999.0,-9999.0,-9999.0,-9999.0,4.7,5.0,74.4,0,27.6,4.0,182.9,862,E20,U111,1,31.7,14.285681406,46.842439217
0.57902,0.68892,0.804566,46082614,-9999.0,-9999.0,-9999.0,-9999.0,7.2,7.59,27.6,363,0.0,2.5,66.2,554,E20,U111,2,68.7,13.741899024,46.574247367
0.87076,0.987381,1.111312,45982612,-9999.0,-9999.0,-9999.0,-9999.0,5.2,5.45,65.4,0,34.9,5.4,96.5,683,E20,U111,1,45.1,13.610481434,46.560718131
0.71984,0.851414,0.992987,45302640,-9999.0,-9999.0,-9999.0,-9999.0,5.6,5.91,46.4,0,80.3,3.5,767.9,735,B16,U111,2,31.8,12.737944208,46.838753524
0.70445,0.786357,0.898648,45362638,-9999.0,-9999.0,-9999.0,-9999.0,7.0,7.27,35.6,27,18.4,1.9,21.8,668,B16,U111,1,17.5,12.815520955,46.818739465
0.725617,0.818968,0.935977,45942634,-9999.0,-9999.0,-9999.0,-9999.0,6.9,7.15,64.9,15,45.7,3.6,54.3,542,E20,U111,1,33.5,13.571706774,46.760295083
0.6553,0.794869,0.955697,47282676,-9999.0,-9999.0,-9999.0,-9999.0,3.7,4.01,18.04,0,17.3,2.5,42.5,499,C31,U120,1,33.5,15.358702335,47.06508257
0.720305,0.816233,0.954761,47522738,-9999.0,-9999.0,-9999.0,-9999.0,6.5,6.68,18.31,0,8.1,2.7,18.7,760,E20,U361,1,25.0,15.734760333,47.605207755
0.656359,0.779531,0.958354,47782656,-9999.0,-9999.0,-9999.0,-9999.0,6.0,6.31,20.2,0,116.3,3.3,508.2,264,B16,U111,1,27.0,15.994109726,46.851195671
0.604059,0.724479,0.922007,47762666,-9999.0,-9999.0,-9999.0,-9999.0,5.2,5.52,22.0,0,33.8,2.0,136.0,269,B16,U111,1,15.7,15.978166588,46.942346073
0.654439,0.778752,0.946948,47742664,-9999.0,-9999.0,-9999.0,-9999.0,5.6,5.89,13.19,0,19.6,2.6,67.5,288,C10,U120,2,24.1,15.949955322,46.925852924
0.62711,0.75327,0.957588,47202670,-9999.0,-9999.0,-9999.0,-9999.0,6.0,6.22,13.64,0,10.6,2.1,1047.8,390,E20,U111,1,20.2,15.24828514,47.016372639
0.57346,0.702921,0.88343,47162666,-9999.0,-9999.0,-9999.0,-9999.0,5.2,5.59,7.44,0,22.1,3.2,59.6,516,E20,U111,1,36.3,15.192266724,46.982996581
0.565886,0.680995,0.873927,47382700,-9999.0,-9999.0,-9999.0,-9999.0,6.9,7.17,41.1,15,18.3,2.9,94.5,646,E20,U111,1,23.9,15.512656541,47.273869524
0.747454,0.879609,1.029307,47302694,-9999.0,-9999.0,-9999.0,-9999.0,6.2,6.42,61.6,0,70.2,5.6,91.3,748,E20,U111,1,49.8,15.401640255,47.225327368
